ranking,occupation
1,Government Property Inspectors and Investigators
2,Traffic Technicians
3,Financial Analysts
4,Political Scientists
5,Accountants
6,"Software Developers, Systems Software"
7,Computer Programmers
8,Instructional Designers and Technologists
9,Bioinformatics Scientists
10,"Psychology Teachers, Postsecondary"
11,"Philosophy and Religion Teachers, Postsecondary"
12,Prepress Technicians and Workers
13,Database Architects
14,Database Administrators
15,Business Intelligence Analysts
16,"Software Developers, Applications"
17,Computer Systems Analysts
18,"History Teachers, Postsecondary"
19,"Political Science Teachers, Postsecondary"
20,Data Warehousing Specialists
21,"Law Teachers, Postsecondary"
22,"Communications Teachers, Postsecondary"
23,"Mathematical Science Teachers, Postsecondary"
24,"Recreation and Fitness Studies Teachers, Postsecondary"
25,"Sociology Teachers, Postsecondary"
26,"Home Economics Teachers, Postsecondary"
27,Computer User Support Specialists
28,Sociologists
29,Operations Research Analysts
30,"Foreign Language and Literature Teachers, Postsecondary"
31,"Physics Teachers, Postsecondary"
32,"Education Teachers, Postsecondary"
33,"Geography Teachers, Postsecondary"
34,Travel Agents
35,"Social Work Teachers, Postsecondary"
36,"Economics Teachers, Postsecondary"
37,"English Language and Literature Teachers, Postsecondary"
38,Statisticians
39,"Agricultural Sciences Teachers, Postsecondary"
40,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
41,Market Research Analysts and Marketing Specialists
42,Public Relations Specialists
43,Historians
44,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
45,Personal Financial Advisors
46,"Sales Agents, Securities and Commodities"
47,"Library Science Teachers, Postsecondary"
48,"Business Teachers, Postsecondary"
49,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
50,"Chemistry Teachers, Postsecondary"
51,"Computer Science Teachers, Postsecondary"
52,Paralegals and Legal Assistants
53,Medical Transcriptionists
54,Securities and Commodities Traders
55,"Engineering Teachers, Postsecondary"
56,"Forestry and Conservation Science Teachers, Postsecondary"
57,"Anthropology and Archeology Teachers, Postsecondary"
58,"Architecture Teachers, Postsecondary"
59,"Health Specialties Teachers, Postsecondary"
60,"Biological Science Teachers, Postsecondary"
61,"Environmental Science Teachers, Postsecondary"
62,Word Processors and Typists
63,Technical Writers
64,Astronomers
65,Self-Enrichment Education Teachers
66,Bioinformatics Technicians
67,Economists
68,"Poets, Lyricists and Creative Writers"
69,"Art, Drama, and Music Teachers, Postsecondary"
70,Statistical Assistants
71,"Fine Artists, Including Painters, Sculptors, and Illustrators"
72,Computer Systems Engineers/Architects
73,"Vocational Education Teachers, Postsecondary"
74,Multimedia Artists and Animators
75,Social Science Research Assistants
76,Web Developers
77,"Pediatricians, General"
78,Marketing Managers
79,Copy Writers
80,Search Marketing Strategists
81,Customer Service Representatives
82,Tutors
83,Judicial Law Clerks
84,Investment Fund Managers
85,Computer and Information Research Scientists
86,Network and Computer Systems Administrators
87,"Office Clerks, General"
88,Food Scientists and Technologists
89,Computer Operators
90,Real Estate Brokers
91,Financial Quantitative Analysts
92,Clinical Psychologists
93,"Interviewers, Except Eligibility and Loan"
94,Librarians
95,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
96,Credit Counselors
97,Curators
98,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
99,Physician Assistants
100,Correspondence Clerks
101,Executive Secretaries and Executive Administrative Assistants
102,Human Resources Specialists
103,"Nursing Instructors and Teachers, Postsecondary"
104,Web Administrators
105,Survey Researchers
106,Mathematicians
107,Shampooers
108,Legal Secretaries
109,Mathematical Technicians
110,Medical Records and Health Information Technicians
111,Geographers
112,"Medical Scientists, Except Epidemiologists"
113,Purchasing Managers
114,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
115,Physicists
116,Investment Underwriters
117,Computer Hardware Engineers
118,Retail Salespersons
119,Materials Scientists
120,Graphic Designers
121,Public Relations and Fundraising Managers
122,Training and Development Managers
123,Management Analysts
124,Software Quality Assurance Engineers and Testers
125,"Special Education Teachers, Middle School"
126,Desktop Publishers
127,Online Merchants
128,"Secondary School Teachers, Except Special and Career/Technical Education"
129,Reservation and Transportation Ticket Agents and Travel Clerks
130,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
131,Marriage and Family Therapists
132,Biological Technicians
133,"Human Resources Assistants, Except Payroll and Timekeeping"
134,"Special Education Teachers, Secondary School"
135,"Directors, Religious Activities and Education"
136,"Middle School Teachers, Except Special and Career/Technical Education"
137,Cashiers
138,Information Security Analysts
139,Interpreters and Translators
140,Security Management Specialists
141,"Administrative Law Judges, Adjudicators, and Hearing Officers"
142,Computer Network Support Specialists
143,Instructional Coordinators
144,"Cooks, Fast Food"
145,Editors
146,Security Managers
147,Counter and Rental Clerks
148,First-Line Supervisors of Office and Administrative Support Workers
149,Document Management Specialists
150,"Sales Agents, Financial Services"
151,"Elementary School Teachers, Except Special Education"
152,Telecommunications Engineering Specialists
153,Cytotechnologists
154,Biostatisticians
155,Pharmacists
156,Electrical Engineering Technicians
157,Producers
158,Geological Sample Test Technicians
159,Data Entry Keyers
160,"Eligibility Interviewers, Government Programs"
161,Medical and Clinical Laboratory Technologists
162,"Cooks, Restaurant"
163,Archeologists
164,Real Estate Sales Agents
165,"Arbitrators, Mediators, and Conciliators"
166,Teacher Assistants
167,Geophysical Data Technicians
168,Computer Network Architects
169,Exercise Physiologists
170,Dietitians and Nutritionists
171,Clergy
172,"Educational, Guidance, School, and Vocational Counselors"
173,Clinical Data Managers
174,Advertising and Promotions Managers
175,Electronics Engineering Technologists
176,Computer and Information Systems Managers
177,Lawyers
178,Naturopathic Physicians
179,Adult Basic and Secondary Education and Literacy Teachers and Instructors
180,Farm and Home Management Advisors
